date,sensor_id,output_path,raw_acc_rows,acc_1s_rows,raw_hr_rows,hr_1s_rows,merged_rows,first_timestamp,last_timestamp
2026-07-09,V001,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V001_merged.csv,31425,641,565,0,27,2026-07-09 11:47:04,2026-07-09 11:47:30
2026-07-09,V002,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V002_merged.csv,236960,4688,4687,4057,4057,2026-07-09 10:40:00,2026-07-09 11:47:36
2026-07-09,V003,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V003_merged.csv,247480,4687,4685,4222,4069,2026-07-09 10:40:00,2026-07-09 11:47:48
2026-07-09,V004,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V004_merged.csv,245520,4686,4684,4360,4077,2026-07-09 10:40:00,2026-07-09 11:47:56
2026-07-09,V005,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V005_merged.csv,236220,4683,4682,4152,4082,2026-07-09 10:40:00,2026-07-09 11:48:01
2026-07-09,V006,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V006_merged.csv,34682,668,589,18,74,2026-07-09 10:40:00,2026-07-09 11:48:07
2026-07-09,V007,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V007_merged.csv,32878,664,587,0,77,2026-07-09 10:40:00,2026-07-09 11:48:15
2026-07-09,V008,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V008_merged.csv,230720,4682,4681,4352,4104,2026-07-09 10:40:00,2026-07-09 11:48:23
2026-07-09,V009,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V009_merged.csv,241960,4681,4680,4220,4117,2026-07-09 10:40:00,2026-07-09 11:48:36
2026-07-09,V010,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V010_merged.csv,233360,4680,4679,4223,4120,2026-07-09 10:40:00,2026-07-09 11:48:39
2026-07-09,V011,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V011_merged.csv,250300,4681,4678,3880,4130,2026-07-09 10:40:00,2026-07-09 11:48:49
2026-07-09,V012,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V012_merged.csv,238000,4678,4677,4154,4139,2026-07-09 10:40:00,2026-07-09 11:48:58
2026-07-09,V013,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V013_merged.csv,239480,4678,4676,4032,4148,2026-07-09 10:40:00,2026-07-09 11:49:07
2026-07-09,V014,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V014_merged.csv,231700,4677,4675,3838,4155,2026-07-09 10:40:00,2026-07-09 11:49:14
2026-07-09,V015,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V015_merged.csv,236240,4672,4670,3812,4167,2026-07-09 10:40:00,2026-07-09 11:49:26
2026-07-09,V016,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V016_merged.csv,236940,4670,4668,4006,4171,2026-07-09 10:40:00,2026-07-09 11:49:30
2026-07-09,V017,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V017_merged.csv,232820,4667,4666,4172,4175,2026-07-09 10:40:00,2026-07-09 11:49:34
2026-07-09,V018,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V018_merged.csv,228840,4665,4664,4350,4188,2026-07-09 10:40:00,2026-07-09 11:49:47
2026-07-09,V019,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V019_merged.csv,244600,4664,4662,4182,4194,2026-07-09 10:40:00,2026-07-09 11:49:53
2026-07-09,V020,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V020_merged.csv,236160,4663,4659,4356,4200,2026-07-09 10:40:00,2026-07-09 11:49:59
2026-07-09,V021,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V021_merged.csv,237830,4652,4648,4084,4200,2026-07-09 10:40:00,2026-07-09 11:49:59
2026-07-09,V022,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V022_merged.csv,250598,4638,4637,3870,4200,2026-07-09 10:40:00,2026-07-09 11:49:59
2026-07-09,V023,D:\Google Drive\Eduacation\2026SS\木2_SSL\polar_processed\2026_07_26\2026_07_09\2026_07_09_V023_merged.csv,234183,4630,4628,4016,4200,2026-07-09 10:40:00,2026-07-09 11:49:59
